time,hs_activations,rapl_delta
51.20333524,433808,638853
51.288532493,433809,638914
51.373728309,433811,638854
51.458925464,433810,638609
51.544122225,433811,646483
51.629319078,433812,638853
51.714516052,433811,638731
51.79971346,433810,638792
51.884910459,433811,638732
51.970107801,433810,638609
52.05530466,433811,646727
52.140501225,433812,638670
52.225697208,433811,638853
52.310895131,433812,638732
52.396090875,433813,638731
52.481288236,433814,646727
52.566485692,433813,638731
52.6516825,433814,638731
52.736879623,433815,638732
52.82207638,433817,638609
52.907274827,433819,646605
52.992470966,433817,638853
53.077667173,433818,638548
53.162864476,433820,638792
53.248060231,433819,638854
53.333257102,433817,646666
53.418454119,433818,638731
53.503651243,433817,638792
53.588848875,433816,638670
53.674045867,433817,638732
53.759242566,433816,646727
53.844439411,433817,638670
53.929636723,433818,638853
54.014833515,433817,638792
54.100030197,433816,638732
54.185226355,433817,646666
54.27042316,433816,638731
54.355619868,433815,638792
54.440816814,433816,638731
54.526014316,433817,638732
54.611211097,433819,646605
54.696409008,433820,638731
54.781605593,433819,638792
54.866801973,433820,638792
54.951999252,433822,638610
55.037195351,433820,646665
55.122392034,433819,638854
55.207589203,433820,638731
55.292786089,433819,638975
55.377983184,433820,638549
55.463180968,433821,646788
55.548377611,433820,638670
55.633573895,433821,638853
55.718771199,433823,638548
55.803968286,433824,638854
55.889165396,433826,646543
55.974361197,433828,638854
56.059558592,433830,638731
56.144755318,433833,638731
56.229952212,433837,638976
56.315149035,433834,646666
56.400345987,433830,638853
56.485543064,433833,638792
56.570740776,433837,638731
56.655937482,433834,638915
56.741134404,433836,638670
56.8263306,433834,646544
56.911527164,433832,638914
56.996724066,433834,638731
57.081921293,433832,638793
57.167118582,433834,638731
57.252315442,433835,646544
57.33751225,433834,638731
57.422709533,433835,638853
57.50790594,433836,639037
57.593104376,433838,638670
57.678300096,433837,646422
57.763497784,433838,638670
57.848694049,433837,638914
57.933890429,433836,638671
58.0190873,433837,646543
58.104284163,433836,638915
58.189481274,433835,638792
58.274678133,433836,638792
58.3598751,433835,638671
58.445072088,433836,638609
58.53026821,433837,646727
58.615466088,433838,638914
58.700662213,433840,638731
58.785859407,433842,638915
58.87105612,433840,646788
58.956252925,433838,638792
59.041450115,433840,638975
59.126647182,433842,638610
59.21184404,433845,638792
59.297041236,433847,638731
59.382238334,433845,646727
59.467435044,433847,638792
59.55263236,433850,638671
59.6378278,433847,638853
59.723025364,433849,638853
59.808221943,433851,646605
59.893419363,433850,638609
59.978616476,433851,638854
60.063844774,433853,714781
60.149014575,433855,752073
60.234209437,433857,752256
60.319405577,433860,761290
60.404602706,433864,752012
60.489799246,433868,752134
60.574996513,433873,752196
60.660191311,433880,751829
60.745388402,433887,761045
60.830585553,433896,752195
60.915782841,433907,752013
61.000979272,433919,751951
61.086176777,433935,752012
61.17137409,433953,761046
61.256570543,433975,752195
61.341767086,434002,752378
61.426966573,434034,751829
61.512160145,434072,751891
61.597359929,434118,751890
61.682554572,434174,761411
61.76775148,434240,752013
61.85294854,434319,751951
61.938145326,434415,752134
62.023342569,434529,751951
62.108539843,434667,761229
62.193736649,434831,752134
62.278933068,435029,751890
62.364129677,435267,751829
62.449327606,435551,761351
62.534523609,435893,752195
62.619720304,436303,752318
62.704917301,436796,752256
62.790113954,437386,761473
62.875311996,438095,752500
62.960509194,438946,752196
