base_index,flip_index,start_time,end_time,flip,flip_value
459953,459961,1644174802661317808,1644174802689411034,0,18446744073709551615
459953,459961,1644174802689446743,1644174802717539819,1,18446742974197923839
459953,459961,1644174802717694095,1644174802745775992,0,18446744073709551615
459953,459961,1644174802745816304,1644174802773879149,0,18446744073709551615
459953,459961,1644174802773916366,1644174802801974403,0,18446744073709551615
459953,459961,1644174802802008968,1644174802830061464,0,18446744073709551615
459953,459961,1644174802830098502,1644174802858196128,0,18446744073709551615
459953,459961,1644174802858230980,1644174802886326087,0,18446744073709551615
459953,459961,1644174802886361579,1644174802914412953,0,18446744073709551615
459953,459961,1644174802914448400,1644174802942618001,0,18446744073709551615
459953,459961,1644174802942654313,1644174802970750947,0,18446744073709551615
459953,459961,1644174802970786139,1644174802998829730,1,18446742974197923839
459953,459961,1644174802998983352,1644174803027086576,1,18446742974197923839
459953,459961,1644174803027128535,1644174803055218155,1,18446742974197923839
459953,459961,1644174803055254947,1644174803083380097,0,18446744073709551615
459953,459961,1644174803083416811,1644174803111495241,0,18446744073709551615
459953,459961,1644174803111529633,1644174803139572809,0,18446744073709551615
459953,459961,1644174803139609204,1644174803167736293,0,18446744073709551615
459953,459961,1644174803167770964,1644174803195819601,0,18446744073709551615
459953,459961,1644174803195858408,1644174803223954246,0,18446744073709551615
459953,459961,1644174803223990804,1644174803252077100,0,18446744073709551615
459953,459961,1644174803252111272,1644174803280165826,0,18446744073709551615
459953,459961,1644174803280200704,1644174803308322588,1,18446742974197923839
459953,459961,1644174803308474600,1644174803336556818,0,18446744073709551615
459953,459961,1644174803336597711,1644174803364644438,0,18446744073709551615
459953,459961,1644174803364679933,1644174803392748941,0,18446744073709551615
459953,459961,1644174803392784676,1644174803420977478,0,18446744073709551615
459953,459961,1644174803421013289,1644174803449134828,0,18446744073709551615
459953,459961,1644174803449170523,1644174803477260183,0,18446744073709551615
459953,459961,1644174803477295330,1644174803505351533,0,18446744073709551615
459953,459961,1644174803505386196,1644174803533483219,0,18446744073709551615
459953,459961,1644174803533519481,1644174803561596881,0,18446744073709551615
